folder,program,expected,analyzer_answer,status,base_ir_n0,ir_n64,ir_n128,ir_n256,ir_n512,ir_n1024,ir_n2048,ir_n4096,exponent_k,r2,seconds
logn,logn/0.cc,O(log N),O(log N),PASS,979,216002,241021,266021,291021,316040,341040,366040,0.1262,0.9942,2.7
logn,logn/1.cc,O(log N),O(log N),PASS,979,1056003,1176022,1296022,1416022,1536041,1656041,1776041,0.1244,0.9944,2.7
logn,logn/2.cc,O(log N),O(log N),PASS,979,511002,566021,621021,676021,731040,786040,841040,0.1193,0.9948,2.7
sqrt_n,sqrt_n/0.cc,O(sqrt N),O(sqrt N),PASS,975,183680,243699,345699,465699,667718,927718,1309718,0.4753,0.9992,2.9
sqrt_n,sqrt_n/1.cc,O(sqrt N),O(sqrt N),PASS,975,145681,193700,273700,369700,529719,737719,1041719,0.4759,0.9993,2.8
sqrt_n,sqrt_n/2.cc,O(sqrt N),O(sqrt N),PASS,975,283680,351699,465699,593699,807718,1075718,1469718,0.3979,0.9973,2.9
n,n/0.cc,O(N),O(N),PASS,935,2432,3923,6867,12755,24550,48102,95206,0.8908,0.9967,2.6
n,n/1.cc,O(N),O(N),PASS,889,4625,6371,9819,16531,30370,58025,113332,0.7803,0.9867,2.7
n,n/2.cc,O(N),O(N),PASS,889,5219,7598,12134,21602,40565,78457,154233,0.8262,0.9911,2.7
nlogn,nlogn/0.cc,O(N log N),O(N log N),PASS,889,26645,55832,119752,258681,558980,1204100,2583436,1.1029,1.0000,2.7
nlogn,nlogn/1.cc,O(N log N),O(N log N),PASS,889,30115,67752,151508,338094,757457,1674695,3673357,1.1560,1.0000,2.7
nlogn,nlogn/2.cc,O(N log N),O(N log N),PASS,935,4638,9333,19705,42493,92180,199704,431132,1.0957,0.9998,2.8
nn,nn/0.cc,O(N^2),O(N^2),PASS,889,103187,404222,1608374,6424942,25692285,102762109,411042433,1.9949,1.0000,2.9
nn,nn/1.cc,O(N^2),O(N^2),PASS,889,42994,156989,606369,2390299,9497740,37869686,151241442,1.9693,0.9999,2.9
nn,nn/2.cc,O(N^2),O(N^2),PASS,935,34302,133201,527569,2102737,8398820,33573860,134255588,1.9911,1.0000,3.0
nnn,nnn/0.cc,O(N^3),,ERROR,889,,,,,,,,,,900.4
nnn,nnn/1.cc,O(N^3),O(N^3),PASS,935,232158,1798673,14180433,112639185,897938916,7170877412,57316592612,2.9874,1.0000,147.9
nnn,nnn/2.cc,O(N^3),,ERROR,889,,,,,,,,,,900.4
2n,2n/0.cc,O(2^N),,ERROR,935,,,,,,,,,,900.4
2n,2n/1.cc,O(2^N),O(N),FAIL,935,1745,2532,4068,7140,13303,25591,50167,0.8186,0.9913,2.7
2n,2n/2.cc,O(2^N),,ERROR,935,,,,,,,,,,900.4
